Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Poo_TruePoo_Full3,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,69757,161,5.39,5.54,27118
180212_Poo_TruePoo_Half1,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,39487,58,5.38,5.53,14762
180212_Poo_TruePoo_Half2,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,40175,0,5.38,5.53,14675
180212_Poo_TruePoo_Half3,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,42882,102,5.38,5.51,16903
180212_Smp_L1C32DCMless10m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,94432,33,5.38,5.5,38358
180212_Smp_L1C32DCMless10m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,87268,92,5.38,5.53,37535
180212_Smp_L1C32DCMless10m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.44,101221,919,5.39,5.51,45314
180212_Smp_L1C32DCMless20m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,105707,177,5.39,5.53,37749
180212_Smp_L1C32DCMless20m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,117250,110,5.38,5.51,45906
180212_Smp_L1C32DCMless20m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,139154,0,5.39,5.56,56896
180212_Smp_L1C33DCM_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.42,103077,706,5.39,5.52,43750
180212_Smp_L1C33DCM_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,121164,0,5.38,5.53,59808
180212_Smp_L1C33DCM_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,88066,83,5.39,5.54,32984
180212_Smp_L1C33DCMplus10m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,68140,0,5.4,5.58,23540
180212_Smp_L1C33DCMplus10m_B,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,95563,146,5.39,5.56,44513
180212_Smp_L1C33DCMplus10m_C,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,113410,29,5.39,5.52,51809
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Acetyl CoA,808.149,461.1161,5.43,54618,322,5.39,5.53,24323
