"Replicate.Name","Precursor.Ion.Name","Precursor.Mz","Product.Mz","Retention.Time","Area","Background","Height"
"180212_Blk_MQBlk_2","Crotonyl CoA",834.277,408.067,8.23,15,0,15
"180212_Blk_MQBlk_3","Crotonyl CoA",834.277,408.067,8.24,13,0,13
"180212_Blk_SWBlk_1","Crotonyl CoA",834.277,408.067,8.21,2,11,7
"180212_Blk_SWBlk_2","Crotonyl CoA",834.277,408.067,8.23,13,12,12
"180212_Blk_SWBlk_3","Crotonyl CoA",834.277,408.067,8.22,27,0,30
"180212_Poo_TruePoo_Full1","Crotonyl CoA",834.277,408.067,8.25,4984,120,1973
"180212_Poo_TruePoo_Full2","Crotonyl CoA",834.277,408.067,8.26,1968,103,923
"180212_Poo_TruePoo_Full3","Crotonyl CoA",834.277,408.067,8.25,4612,24,1769
"180212_Poo_TruePoo_Half1","Crotonyl CoA",834.277,408.067,8.27,2880,0,1206
"180212_Poo_TruePoo_Half2","Crotonyl CoA",834.277,408.067,8.24,2189,20,1250
"180212_Poo_TruePoo_Half3","Crotonyl CoA",834.277,408.067,8.25,2837,0,1659
"180212_Smp_L1C32DCMless10m_A","Crotonyl CoA",834.277,408.067,8.23,3,5,7
"180212_Smp_L1C32DCMless10m_B","Crotonyl CoA",834.277,408.067,8.23,324,19,279
"180212_Smp_L1C32DCMless10m_C","Crotonyl CoA",834.277,408.067,8.23,9,0,11
"180212_Smp_L1C32DCMless20m_A","Crotonyl CoA",834.277,408.067,8.23,213,3,179
"180212_Smp_L1C32DCMless20m_B","Crotonyl CoA",834.277,408.067,8.24,18,8,18
"180212_Smp_L1C32DCMless20m_C","Crotonyl CoA",834.277,408.067,8.24,191,0,238
"180212_Smp_L1C33DCM_A","Crotonyl CoA",834.277,408.067,8.22,30,2,55
"180212_Smp_L1C33DCM_B","Crotonyl CoA",834.277,408.067,8.23,25,8,23
"180212_Smp_L1C33DCM_C","Crotonyl CoA",834.277,408.067,8.24,116,0,155
"180212_Smp_L1C33DCMplus10m_A","Crotonyl CoA",834.277,408.067,8.24,10,0,18
